Code,Sample
1,CMInv3
2,Rt2Inv3
3,Rt2Nat3
4,CBNat3
5,Rt2Nat2
6,CMNat1
7,CBInv3
8,CRInv2
9,Rt2Inv1
10,CRInv1
11,CMInv1
12,CRInv3
13,PLBInv1
14,Rt2Nat1
15,CBNat1
16,Rt2Inv2
17,SBNat1
18,CBInv2
19,CBInv1
20,CBNat2
21,CRNat2
22,PLBNat1
23,CMNat2
24,CRNat1
25,CRNat3
26,SBInv1
27,CMNat3
28,CMInv2
29,BLInv1
30,BLInv2
31,BLInv3
32,BLInv4
33,BLInv5
34,BLInv6
35,BLNat1
36,BLNat2
37,BLNat3
38,BLNat4
39,BLNat5
40,BLNat6
41,CHInv1
42,CHInv2
43,CHInv3
44,CHInv4
45,CHInv5
46,CHInv6
47,CHNat1
48,CHNat2
49,CHNat3
50,CHNat4
51,CHNat5
52,CHNat6